CL State,CL Region,CL District,Housing Category,Title,URL,Date Posted,Time Posted,Price,Location,Area
California,sfbay,eby,rooms & shares,**SE RENTA CUARTO $750 TODOS BILLS INCLUDED*** ROOM FOR RENT $750**,https://sfbay.craigslist.org/eby/roo/d/antioch-se-renta-cuarto-750-todos-bills/6966286037.html,2019-09-11,16:48,750.0,pittsburg / antioch,None
California,sfbay,sfc,rooms & shares,$900 1 BDR For Rent,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-bdr-for-rent/6970997331.html,2019-09-11,16:03,900.0,sunset / parkside,None
California,sfbay,sby,rooms & shares,NICE ROOM FOR RENT IN MILPITAS,https://sfbay.craigslist.org/sby/roo/d/milpitas-nice-room-for-rent-in-milpitas/6958601866.html,2019-09-11,16:40,750.0,milpitas,160ft2
California,sfbay,sby,rooms & shares,TWO SUPER NICE ROOMS AVAILABLE ($750 Each),https://sfbay.craigslist.org/sby/roo/d/milpitas-two-super-nice-rooms-available/6961817580.html,2019-09-11,16:40,750.0,milpitas,140ft2
California,sfbay,sby,rooms & shares,"Comfortable, friendly home to share",https://sfbay.craigslist.org/sby/roo/d/comfortable-friendly-home-to-share/6970035280.html,2019-09-11,16:28,750.0,san jose east,None
California,sfbay,scz,rooms & shares,Downtown Room for Fall Quarter,https://sfbay.craigslist.org/scz/roo/d/santa-cruz-downtown-room-for-fall/6975086634.html,2019-09-11,16:43,750.0,santa cruz,None
California,sfbay,scz,rooms & shares,large Bonny Doon room with sleeping loft,https://sfbay.craigslist.org/scz/roo/d/large-bonny-doon-room-with-sleeping-loft/6976704627.html,2019-09-11,16:35,675.0,santa cruz,235ft2
California,sfbay,sby,rooms & shares,Room with Utilities but no Parking,https://sfbay.craigslist.org/sby/roo/d/san-jose-room-with-utilities-but-no/6976669239.html,2019-09-11,15:59,775.0,san jose east,100ft2
California,sfbay,sby,rooms & shares,Room Available Now near SJSU,https://sfbay.craigslist.org/sby/roo/d/san-jose-room-available-now-near-sjsu/6976675931.html,2019-09-11,15:49,500.0,san jose downtown,None
California,sfbay,sby,rooms & shares,Furnished toom for rent in San jose,https://sfbay.craigslist.org/sby/roo/d/san-jose-furnished-toom-for-rent-in-san/6970743600.html,2019-09-11,15:21,800.0,san jose east,130ft2
